"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10361,1960,140,7958,34,1075,21528
"G20   Doenc de Parkinson",1310,53,15,370,2,72,1822
"I21   Infarto agudo do miocardio",27146,3889,290,18060,85,1925,51395
"X91   Agressao enforc estrangulamento sufocacao",172,46,-,277,3,30,528
"X93   Agressao disparo de arma de fogo de mao",1139,285,3,1601,6,59,3093
"X94   Agressao disparo arma fogo de maior calibre",66,20,1,159,2,4,252
"X95   Agressao disparo outr arma de fogo ou NE",7964,3057,52,23493,47,2371,36984
"X97   Agressao p/meio de fumaca fogo e chamas",60,12,2,95,-,31,200
"X99   Agressao objeto cortante ou penetrante",1925,655,11,4898,45,349,7883
"Y00   Agressao p/meio de um objeto contundente",801,208,2,1506,11,82,2610
"Y04   Agressao p/meio de forca corporal",213,57,2,356,3,33,664
"Y09   Agressao p/meios NE",562,264,-,1106,20,108,2060
"Y35   Intervencao legal",242,114,-,429,-,4,789
"Total",51961,10620,518,60308,258,6143,129808
 
